feature,spearman_rho,kendall_tau
degree_x,0.11012225724097152,0.08742221996453925
degree_centrality_nx,0.11012225724097152,0.08742221996453925
degree_y,0.11012225724097152,0.08742221996453925
pagerank,0.12899510941076295,0.10221143106390315
betweenness_centrality,0.12278379199535369,0.09844349074688119
eigenvector_centrality,0.08880555385179621,0.07021603834810199
katz_centrality,0.10803829750221651,0.0855361928923514
closeness_igraph,0.0881480079887317,0.06969563433201649
eigenvector_igraph,0.08858305382403268,0.07005678568927957
clustering_igraph,-0.058051479583887435,-0.04649590794154634
